"","Estimate","Std. Error","t-value","Pr(>|t|)"
"lag(log(PM2.5 in country),1)",0.384470654140122,0.0530484555677629,7.24753718134184,2.78787775800968e-12
"log(Auctioned or sold EUAs)",-0.000373130218185858,0.000883354203555491,-0.422401587816091,0.672994283150895
"log(Precipitation level)",-0.0425504761676862,0.020663252041984,-2.05923424256894,0.0402197222043298
"GDP per capita growth %",0.00193951283565209,0.00113296913993016,1.71188496429094,0.0878139336212183
"Urban population living in the largest city %",0.0184689913594931,0.00408320151714398,4.5231643067206,8.38323377488988e-06
"log(Population density)",0.348936621372832,0.091988065285435,3.79328144678439,0.000175425623998846
"EUETS:2012",-0.061662633295225,0.018224105076932,-3.38357538188678,0.000797504601946964
"EUETS:2013",-0.0620055180496972,0.0212518734389942,-2.91764950641603,0.00375731881487805
"EUETS:2014",-0.0609925329879547,0.0216159293187636,-2.82164750302965,0.00505367903458258
"EUETS:2015",-0.0701914640330863,0.0219801606234402,-3.1934008688832,0.00153515359853233
"EUETS:2016",-0.122707761325794,0.0222234308561319,-5.5215489507524,6.60775641091649e-08
"EUETS:2017",-0.0522416664115832,0.0235730808428376,-2.21615777589191,0.0273308247523454
"EUETS:2018",-0.0356501755208574,0.0227940527920109,-1.56401215028126,0.118728835829308
"EUETS:2019",-0.0940693998298465,0.0224406870111763,-4.19191265325327,3.51680793929123e-05
